rooms,area,living_area,kitchen_area,floor,total_floors,price_usd,price_per_m2,house_type,ceiling_height,condition,parking,furniture,district,latitude,longitude,null_counts,has_window_grills,security_high,bathroom_count,bathroom_type,balcony_type,wooden_floor,floor_relative,living_ratio,kitchen_ratio,building_age,building_stage
2,39.1,27.877991567076073,7.987685888486015,14.0,18.0,63272,1618,monolithic,3.0,new,private_parking,fully_furnished,Nura,51.120902470303,71.379950363693,2,0,0,1,combined,loggia,0,0.7777777777777778,0.7129921116899252,0.2042886416492587,1,0
2,70.64,50.36576276977631,14.430949646103635,6.0,9.0,112986,1599,monolithic,3.0,rough,private_parking,unknown,Nura,51.134387015427,71.386815497076,7,0,0,1,unknown,unknown,0,0.6666666666666666,0.7129921116899252,0.2042886416492587,0,1
3,97.0,69.16023483392274,15.0,3.0,9.0,127723,1316,brick,3.0,unknown,private_parking,fully_furnished,Saryshyk,51.111064209244,71.50192435543,2,0,0,2,multiple,loggia,0,0.3333333333333333,0.7129921116899252,0.15463917525773196,3,0
2,38.0,27.093700244217157,9.0,7.0,9.0,49124,1292,brick,3.0,unknown,private_parking,partially_furnished,Saryarka,51.172396256993,71.402581013708,3,0,0,1,combined,loggia,0,0.7777777777777778,0.7129921116899252,0.23684210526315788,3,0
3,86.0,61.31732160533356,17.568823181836247,8.0,9.0,110039,1279,brick,2.7,new,no_parking,fully_furnished,Nura,51.124493,71.395152,6,0,0,2,multiple,balcony,0,0.8888888888888888,0.7129921116899252,0.2042886416492587,5,0
3,80.0,57.03936893519401,12.0,3.0,12.0,128902,1611,monolithic,3.0,unknown,private_parking,unknown,Nura,51.136894098073,71.395608415302,4,0,1,2,multiple,loggia,0,0.25,0.7129921116899252,0.15,1,0
2,52.0,37.075589807876106,9.0,4.0,5.0,47159,906,unknown,2.7,unknown,public_parking,fully_furnished,Baikonur,51.174501,71.450264,3,0,0,1,separate,loggia,0,0.8,0.7129921116899252,0.17307692307692307,33,0
3,68.8,49.05385728426685,14.055058545468997,6.0,16.0,127723,1856,monolithic,3.0,unknown,private_parking,fully_furnished,Almaty,51.133778930492,71.469624638503,5,0,0,1,unknown,loggia,0,0.375,0.7129921116899252,0.2042886416492587,3,0
3,107.0,76.290155950822,20.0,9.0,10.0,66612,622,monolithic,2.7,good,private_parking,fully_furnished,Almaty,51.158241,71.495602,1,1,0,2,multiple,multiple,0,0.9,0.7129921116899252,0.18691588785046728,12,0
1,42.5,30.30216474682182,8.682267270093494,4.0,8.0,56984,1340,brick,2.7,unknown,private_parking,unknown,Yesil,51.093480638808,71.445667108783,8,0,0,1,unknown,unknown,0,0.5,0.7129921116899252,0.20428864164925867,6,0
2,47.0,33.51062924942648,9.601566157515158,8.0,9.0,56002,1191,brick,2.7,new,private_parking,partially_furnished,Saryshyk,51.117286068649,71.481656251025,2,0,1,1,combined,loggia,0,0.8888888888888888,0.712992111689925,0.2042886416492587,8,0
2,71.4,50.90763677466066,14.586209013757072,5.0,9.0,91371,1279,brick,3.0,new,private_parking,unknown,Nura,51.131619559726,71.384323271772,7,0,0,1,unknown,unknown,0,0.5555555555555556,0.7129921116899252,0.2042886416492587,5,0
3,90.0,64.16929005209326,18.385977748433284,11.0,16.0,137548,1528,monolithic,3.0,unknown,private_parking,fully_furnished,Nura,51.135611,71.381327,3,0,0,2,multiple,balcony,0,0.6875,0.7129921116899252,0.2042886416492587,4,0
3,52.0,37.075589807876106,10.623009365761453,5.0,5.0,39103,751,unknown,2.7,unknown,private_parking,partially_furnished,Almaty,51.152303,71.465984,7,0,0,1,combined,balcony,0,1.0,0.7129921116899252,0.2042886416492587,50,0
1,41.8,29.80307026863887,12.7,3.0,12.0,56984,1363,monolithic,3.0,rough,private_parking,unknown,Nura,51.124485852941,71.380217423542,3,0,1,1,combined,loggia,0,0.25,0.7129921116899252,0.3038277511961723,1,0
2,60.0,42.77952670139551,12.257318498955522,2.0,24.0,88424,1473,monolithic,2.7,unknown,private_parking,fully_furnished,Yesil,51.112240129823,71.414100719057,4,0,1,1,combined,loggia,1,0.08333333333333333,0.7129921116899252,0.2042886416492587,8,0
3,117.0,83.42007706772124,23.901771072963268,20.0,22.0,86457,738,monolithic,3.0,good,private_parking,unknown,Saryshyk,51.118218642203,71.462881844491,4,0,0,2,multiple,loggia,0,0.9090909090909091,0.7129921116899252,0.2042886416492587,15,0
5,126.0,89.83700607293056,18.0,7.0,9.0,225973,1793,monolithic,3.0,unknown,private_parking,fully_furnished,Nura,51.106075329391,71.387111126473,3,0,0,2,multiple,balcony,0,0.7777777777777778,0.7129921116899252,0.14285714285714285,2,0
4,125.0,89.12401396124065,25.536080206157337,9.0,9.0,141478,1131,brick,3.0,good,private_parking,partially_furnished,Saryarka,51.164793,71.400587,2,0,1,2,multiple,multiple,0,1.0,0.7129921116899252,0.2042886416492587,4,0
